CPH,ProducerID,TradingName,Date
09/151/0033/00,4829,E MORTEN & SONS,2017-03-14
37/065/0061/00,14795,MR K W AND MRS S A BURTON,2017-03-15
17/096/0105/00,9026,M M QUESTED,2017-03-16
17/005/0012/00,28897,W L  G V & W L PRICE,2017-03-17
37/079/0210/00,14884,R J SALT,2017-03-18
09/067/7000/00,4638,C HORNSBY & J ROUND,2017-03-19
06/139/0109/00,618,G J MOSS & SON,2017-03-20
17/092/0024/00,9011,W C & M E GEORGE & SON,2017-03-21
20/229/0031/00,9527,A L BETTS LTD,2017-03-22
13/083/0050/00,8109,R STRATHERN,2017-03-23
11/178/0007/00,30163,S R VICKERY LIMITED,2017-03-24
48/189/0055/00,17392,J SHEPHERD & SON,2017-03-25
08/627/0062/,4218,S & M COOPER,2017-03-26
08/627/0042/,4215,M/S J W & M DENNISON,2017-03-27
08/653/0009/,4310,M & D STABLE,2017-03-28
08/653/0012/,4311,J J PROCTER,2017-03-29
37/248/0078/00,15473,S G LEE & SONS,2017-03-30
59/062/0014/,22468,JOHN H B TUCKER,2017-03-31
48/711/0048/00,18041,M/S E & K M MARSHALL,2017-04-01
56/062/0014/00,21895,K H THOMPSON & PARTNERS,2017-04-02
56/023/0016/00,21724,T M & S M HUGHES,2017-04-03
53/397/0012/00,19502,T T & M O WILLIAMS,2017-04-04
59/059/0007/,22466,E & J BEYNON & SON,2017-04-05
53/043/0047/00,19255,M W WILLIAMS AI GWMNI,2017-04-06
37/215/0003/00,30521,T/A: PETER HILL & SON,2017-04-07
37/121/0089/00,14970,M B JONES & PARTNERS,2017-04-08
37/064/0105/00,14770,C E HINE,2017-04-09
22/213/0022/,29503,R B BETTERIDGE,2017-04-10
07/221/0064/00,2641,M F& C A  SMALE,2017-04-11
14/149/0081/05,30577,T/A: P M & U J DEIGHTON,2017-04-12
07/057/0002/00,1837,P J MADDEVER,2017-04-13
15/008/0089/01,8757,J R & D L WOLFE,2017-04-14
22/093/0061/00,30580,T/A: AHIMSA DAIRY FOUNDATION,2017-04-15
36/280/0151/00,13947,D J  M J & P W HOUSE,2017-04-16
37/032/0027/00,14590,M/S E M & M R PEARCE,2017-04-17
08/383/0004/00,4065,P & E M MASON,2017-04-18
10/086/0013/00,5474,R F TAPP & SON,2017-04-19
21/409/0013/00,10481,W T WHITAKER & SON,2017-04-20
10/076/0133/00,29289,R W PARTRIDGE & SONS,2017-04-21
21/431/0105/00,10576,MISS P T ANDERTON,2017-04-22
10/211/0046/00,6158,MESSRS D G & J Y HOOPER,2017-04-23
12/083/0052/00,8004,WILKINSON & SON,2017-04-24
09/118/0006/00,4759,MR T P W FOSTER,2017-04-25
12/025/0011/00,7936,MR R C MORGAN,2017-04-26
10/484/0011/00,30375,MESSRS PENNINGTON,2017-04-27
35/012/0041/00,12334,G & M LEWIS,2017-04-28
07/208/0067/00,2590,GREENACRES FARM,2017-04-29
07/109/0045/00,2039,MR R J COURT,2017-04-30
14/151/0022/00,8362,G E HUNT & SONS,2017-05-01
07/212/0007/00,2608,J C DAWE & SON,2017-05-02
06/221/0061/01,1271,C & S FITTON & SON,2017-05-03
43/108/0176/00,29955,P W MARDELL / MUSSON HALL FARM,2017-05-04
06/151/0130/00,671,STOCKLEY FARM PARTNERS,2017-05-05
43/112/0139/00,16119,A W & J BRANDRETH & SON,2017-05-06
43/031/0017/00,16052,THE DAWSON PARTNERSHIP,2017-05-07
06/321/0063/00,1274,B E WORTH,2017-05-08
10/398/0088/00,30596,T/A: OAKBROOK FARM,2017-05-09
11/081/0149/00,30604,T/A: MP & PM PERRETT,2017-05-10
10/071/0900/00,29569,B H & A E WORTH,2017-05-11
10/071/0900/00,29569,B H & A E WORTH,2017-05-12
49/528/0979/00,18612,MR J WELLOCK,2017-05-13
06/237/0015/00,928,MESSRS ALAN FORD & SONS,2017-05-14
21/159/0025/00,29195,J R GORST,2017-05-15
49/528/0731/00,18675,BAIRSTOWS,2017-05-16
21/113/0010/00,29443,A R & C A PARKINSON,2017-05-17
56/070/0030/00,21918,E & G E HUGHES,2017-05-18
56/076/0006/00,21940,M W ROBERTS & CO,2017-05-19
21/165/0021/00,10126,J & N HULL & SONS,2017-05-20
21/160/0073/00,10073,A B & J PARKINSON & SONS,2017-05-21
22/228/0141/00,29170,LEICESTERSHIRE HANDMADE CHEESE CO,2017-05-22
22/213/0022/01,29503,R B BETTERIDGE,2017-05-23
22/179/0003/,10896,KNAPTOFT HALL FARM LTD,2017-05-24
22/042/0058/00,29508,J R SQUIRES,2017-05-25
08/337/0001/,3869,J K & A BOWNESS & SON,2017-05-26
56/085/0005/00,21978,R B EVANS & SON,2017-05-27
08/371/0013/,4009,G R PARK & SONS,2017-05-28
60/121/0230/,29487,G & R MORGAN,2017-05-29
56/085/0068/00,21986,D R  O M & S L SUCKLEY,2017-05-30
14/168/0213/00,8385,BLACK HOUSE FARM LTD,2017-05-31
08/635/0027/,30558,T/A:W & MM CASE AND SONS,2017-06-01
08/053/0097/,29100,C & A J WOODHOUSE,2017-06-02
56/080/0057/00,21967,H W  M & G HUGHES,2017-06-03
60/120/0239/00,30096,H G ROBINSON & SONS LTD,2017-06-04
52/151/0238/00,19085,A I BOWEN,2017-06-05
57/037/0001/,22381,P E & R E DAVID,2017-06-06
20/229/0031/00,9527,A L BETTS LTD,2017-06-07
10/211/0035/00,6154,J TUCKER & PARTNERS,2017-06-08
10/216/0027/00,6178,D H SELWAY,2017-06-09
35/099/0065/02,12564,EARL OF PLYMOUTH ESTATES,2017-06-10
06/294/0009/,1190,N & E J GOODWIN,2017-06-11
36/052/0001/00,13388,I J & S A BELL & SON,2017-06-12
55/065/0055/00,20265,W K & MRS J A & D A & M M HOWELLS,2017-06-13
55/065/0043/00,20262,T E S & MRS I A EVANS,2017-06-14
37/152/0110/00,15077,GM & HJ FERN,2017-06-15
08/653/0012/,4311,J J PROCTER,2017-06-16
08/627/0042/,4215,M/S J W & M DENNISON,2017-06-17
06/157/0025/00,696,T W & R T WILKINSON,2017-06-18
33/334/0007/00,11908,MESSRS A G TWINE,2017-06-19
35/267/0111/00,13134,MR P M & MRS S D BRADBURY T/A,2017-06-20
08/053/0007/,3010,MESSRS J STUBBS & PARTNERS,2017-06-21
21/007/0017/00,9615,THOMAS PARKINSON,2017-06-22
35/267/0159/00,13142,D R & B TROW & SONS,2017-06-23
45/137/0208/01,29706,W HAGUE & SON,2017-06-24
21/002/0025/00,9599,DP & SJ BERRY,2017-06-25
06/203/0006/00,804,T/A: L V & D F DAKIN & PARTNERS,2017-06-26
45/027/0018/00,16439,NESTON HOME FARM,2017-06-27
39/004/0002/00,28817,T J HICKS,2017-06-28
09/099/0015/02,4709,D W & L K MYCOCK,2017-06-29
22/282/0005/00,11015,G C & R MEAKIN,2017-06-30
21/672/0026/00,29788,EMMA'S DAIRY,2017-07-01
22/116/0034/00,30622,T/A: STONE'S DAIRY,2017-07-02
10/073/0113/00,5421,C R & J M CARR,2017-07-03
10/397/0033/00,6848,C J PARISH & SON,2017-07-04
11/209/0032/00,7684,A S  A E & A J PERRETT,2017-07-05
53/229/0200/00,30318,T/A: RHIWLAS FARM PARTNERSHIP,2017-07-06
10/325/0021/00,29468,W J & MRS B A KNELLER,2017-07-07
39/005/0007/00,29968,R & J MORTON,2017-07-08
56/044/0027/00,21817,G O & G WILLIAMS,2017-07-09
06/313/0006/00,1256,MESSRS G GREEN & SON,2017-07-10
06/325/0009/00,1283,WINCHAM HOLSTEINS LIMITED,2017-07-11
06/200/0047/00,29322,C N & I R ATKIN,2017-07-12
08/146/0083/00,29187,MESSRS WALSH,2017-07-13
35/268/0058/00,13158,G VERNON & PARTNERS,2017-07-14
08/641/0007/,30047,GOTT & ROBINSON,2017-07-15
56/238/0047/00,22203,MR D W HOLLAND,2017-07-16
41/015/0158/00,15721,DOUGLAS PARTNERS,2017-07-17
48/142/0031/00,17352,CAMPHILL VILLAGE TRUST,2017-07-18
48/142/0031/00,17353,CAMPHILL VILLAGE TRUST,2017-07-19
10/145/0041/00,30129,T/A: M E LEY & SON,2017-07-20
20/276/0007/00,9532,STEPHEN FURNIVAL,2017-07-21
06/363/0033/,1422,PEARSON & SON,2017-07-22
48/573/0002/00,17906,M/S N HOUSEMAN & PARTNERS,2017-07-23
13/237/0010/00,8151,R TORRANCE & SON,2017-07-24
44/690/0044/00,16325,J & S Y KENYON & SONS,2017-07-25
21/387/0474/00,10405,M & M TATTERSALL,2017-07-26
21/155/0064/00,10027,D HARGREAVES & SON LTD,2017-07-27
15/149/0116/00,8715,PETEEN HOME FARM,2017-07-28
35/137/0128/00,12623,MR C W MORRIS,2017-07-29
09/133/0023/00,4795,FURNESS & TAYLOR,2017-07-30
21/121/0021/60,9881,J SEED & SONS,2017-07-31
36/052/0001/00,13388,I J & S A BELL & SON,2017-08-01
36/331/0029/01,29644,BARTLETT BROS,2017-08-02
21/387/0421/00,10401,R & L A BRIGGS,2017-08-03
15/159/0016/07,29054,T/A LAVERSTOKE PARK BUFFALO,2017-08-04
56/240/0041/00,22225,I C HUXLEY & CO,2017-08-05
15/163/0061/,8723,MR MARK STEVENS,2017-08-06
36/337/0032/00,14098,L S  K M & C J DAVIES,2017-08-07
30/748/0127/00,11525,MR I D RENWICK,2017-08-08
12/062/0011/00,7969,G W DOBSON & SON,2017-08-09
10/398/0088/00,30596,T/A: OAKBROOK FARM,2017-08-10
18/068/0015/00,9442,JENNIFER M DAW & BARRY A DAW,2017-08-11
18/050/0034/00,30480,CHARLES WRAY,2017-08-12
07/117/0017/00,30618,T/A: NP DENFORD,2017-08-13
55/060/0187/,20216,D M & V JAMES,2017-08-14
18/108/0086/00,30333,T/A: MEADOW HAY DAIRIES,2017-08-15
08/095/0004/00,3231,MR L KYLE,2017-08-16
10/152/0067/00,5234,M W BROWN,2017-08-17
03/168/0009/00,205,T/A: G & A ADDERSON,2017-08-18
55/089/0176/,20479,J F & MRS M E THOMAS & SON,2017-08-19
37/046/0037/00,14664,C STANLEY,2017-08-20
06/205/0007/00,813,R A & N READE,2017-08-21
10/089/0037/00,30191,T/A: J L E PITTS & SON,2017-08-22
10/484/0011/00,30375,MESSRS PENNINGTON,2017-08-23
10/465/0085/00,7045,G A MORTIMER & SONS,2017-08-24
49/316/0126/00,18457,N SHAW & SONS,2017-08-25
49/343/0706/00,18469,S BRIGG & SONS,2017-08-26
06/191/0030/00,777,S F R FARMING LIMITED,2017-08-27
09/099/0015/02,4709,D W & L K MYCOCK,2017-08-28
14/100/0015/00,8301,C D PHELPS & SON,2017-08-29
08/637/0001/,4256,P D & B S LAWRENCE,2017-08-30
34/792/0016/00,12287,E J KEEDWELL,2017-08-31
08/640/0014/,4271,M H & S J MORRIS,2017-09-01
56/241/0047/00,22228,D M & P A SCOTT,2017-09-02
35/270/0061/00,13191,R N COPE,2017-09-03
56/245/0018/,22262,C R BARNETT,2017-09-04
33/334/0002/00,11907,K B BERRY & SON,2017-09-05
20/229/0031/00,9527,A L BETTS LTD,2017-09-06
06/265/0015/00,1066,S J MITCHELL & CO,2017-09-07
55/047/0107/00,20110,J E M & MRS E J HUGHES,2017-09-08
55/049/0051/00,20135,W J D & MRS E M & W R JONES,2017-09-09
55/051/0234/00,20156,A M D MORGAN & E L JONES,2017-09-10
21/184/0059/,10182,M/S D G & V J & M LAWSON,2017-09-11
08/129/0021/00,3365,E & D E HORN,2017-09-12
48/858/0020/00,18380,M/S S & C H BRENNAND,2017-09-13
10/284/0016/01,6425,P J CAUNTER & SON,2017-09-14
36/395/0008/01,14159,WYKE FARMS LTD,2017-09-15
36/395/0008/03,14161,WYKE FARMS LTD,2017-09-16
21/014/0019/00,9672,R J & G L DEWHURST,2017-09-17
08/034/0004/00,2856,MESSRS HUGHES,2017-09-18
08/345/0003/,3899,M/S J J & M A PARK & SON,2017-09-19
08/654/0005/,4317,AE & E GARNETT LTD,2017-09-20
11/072/0254/00,30637,T/A: TC & ER JONES,2017-09-21
11/031/0142/01,30061,S & H PERSEY LTD,2017-09-22
10/211/0046/00,6158,MESSRS D G & J Y HOOPER,2017-09-23
10/210/0010/00,6144,MR R F COLLINS,2017-09-24
60/060/0174/00,22575,C LONG & SON,2017-09-25
60/113/0154/00,29458,J & M EDWARDS & SON,2017-09-26
47/663/0002/00,17047,C D & M K PARKER,2017-09-27
55/502/0006/00,21472,CILAST LTD,2017-09-28
06/076/0022/00,473,JAMES HARRISON FARMING LTD,2017-09-29
35/154/0010/00,12740,WALFORD & NORTH SHROPSHIRE COLLEGE,2017-09-30
55/219/0288/00,29905,GRIFFITHS BROTHERS LTD,2017-10-01
49/316/0040/00,18447,T/A: DELPH HOUSE FARM,2017-10-02
06/051/0004/00,425,P E & G HALE,2017-10-03
55/292/0027/00,20916,D B & MRS D R JONES,2017-10-04
06/186/0011/00,754,MESSRS D P & D A JONES,2017-10-05
35/272/0001/00,13207,C L PRICE & CO,2017-10-06
35/154/0013/00,12741,A J WILLIAMS & SONS,2017-10-07
49/492/1135/00,28891,SANDWITH FARM SERVICES,2017-10-08
33/432/0045/00,11926,DART & PARTNERS,2017-10-09
22/216/0019/01,10945,F DOBSON & SONS,2017-10-10
22/226/0090/00,10968,R BROWN & SONS,2017-10-11
55/439/0097/00,21101,MICHAEL & NICHOLAS CAREY,2017-10-12
21/035/0043/00,9736,R J & J E SEEDALL,2017-10-13
22/093/0061/00,30580,T/A: AHIMSA DAIRY FOUNDATION,2017-10-14
22/321/0021/00,11072,CHANDLER & DICKMAN (FARMS) LTD,2017-10-15
55/474/0082/06,30516,T/A: ROCK VIEW,2017-10-16
34/792/0016/00,12287,E J KEEDWELL,2017-10-17
35/018/0024/00,12341,BEAMOND PARTNERS,2017-10-18
06/207/0045/00,29310,T J & S L MANSELL,2017-10-19
06/001/0007/00,327,W E & W BLACKBURN,2017-10-20
36/332/0104/02,14060,W J WEEKS & SON,2017-10-21
06/041/0003/00,409,A J & G M CLIFF,2017-10-22
35/137/0317/00,29369,R J & C H LLOYD,2017-10-23
06/453/0013/00,690,J J & J E GERRARD,2017-10-24
21/417/0023/00,10532,T/A: W S BURROW & SON,2017-10-25
56/037/0009/00,21756,G & G DAVIES,2017-10-26
56/038/0037/00,21767,E O JONES,2017-10-27
56/204/0133/00,22058,A & P M SPENCER,2017-10-28
08/383/0004/00,4065,P & E M MASON,2017-10-29
06/191/0007/00,775,P M & S M TUSHINGHAM,2017-10-30
35/244/0037/00,13050,MR J A GARMSTON,2017-10-31
06/361/0095/01,1352,R WAIN & SONS LTD,2017-11-01
34/671/0116/00,12211,M/S D F PLAISTER & SON,2017-11-02
09/145/0044/00,4814,MOSLEY HALL FARMING,2017-11-03
21/007/0098/00,9635,J FISHER & SON,2017-11-04
21/216/0009/06,10242,J FENTON & SON,2017-11-05
41/023/0169/00,15733,OLD PLAW HATCH FARM LIMITED,2017-11-06
37/023/0022/00,14517,M/S P F HULSE,2017-11-07
10/186/0044/00,5976,R J JAMES & SON,2017-11-08
55/009/0097/00,19680,R T  M A & W C RICHARDS,2017-11-09
10/028/0002/00,29218,T & D WILDERN,2017-11-10
55/009/121 /00,19684,E R & M E JONES,2017-11-11
07/128/0045/00,29179,T/A: P J & T FLETCHER,2017-11-12
53/167/0045/01,29406,HUW EURIG JONES,2017-11-13
56/203/0025/00,22051,M J & P J ROBINSON,2017-11-14
17/072/0010/00,8983,I J AND M E BAILEY,2017-11-15
28/462/0010/00,11365,F S DANN & SON LTD,2017-11-16
17/079/0001/00,29573,C E RUDGE & SONS LTD,2017-11-17
09/199/0057/00,30141,JAMES ALLAN GODBER,2017-11-18
55/083/0057/00,20434,THOMAS FOXHOLE,2017-11-19
17/078/0108/00,30136,T/A: GREENLANDS GOATS,2017-11-20
35/267/0159/00,13142,D R & B TROW & SONS,2017-11-21
17/477/0179/00,30613,T/A: J W LODGE,2017-11-22
06/237/0015/00,928,MESSRS ALAN FORD & SONS,2017-11-23
35/244/0015/00,13041,R F & J B AINSWORTH,2017-11-24
55/513/0002/00,28994,LAWRENNY FARMS,2017-11-25
55/473/0015/00,29074,J W SAUNDERS,2017-11-26
21/681/0068/00,30643,T/A: LANESIDE FARM PARTNERSHIP,2017-11-27
55/005/0063/08,28914,T D M JONES,2017-11-28
37/270/0019/00,15485,G BROOKES & PARTNERS,2017-11-29
31/347/0003/00,11578,MESSRS M L & J M RICHARDSON & SONS,2017-11-30
37/152/0101/00,15071,PETER THOMAS,2017-12-01
36/153/0069/00,30555,T/A: MP CRUDGE & L M SHERE,2017-12-02
37/152/0111/00,15078,A W & C M BARROW,2017-12-03
55/046/0125/00,20098,P & F DAVIES,2017-12-04
35/154/0002/00,12737,C D & P A HOLLOWAY,2017-12-05
37/151/0117/00,29222,T & R JEYES,2017-12-06
40/045/7000/00,29519,D & P THOMPSON,2017-12-07
21/402/0067/00,10434,J C & E J LAWSON,2017-12-08
06/238/0018/00,945,G A RICHARDSON & SON,2017-12-09
37/151/0006/00,15060,T SWIFT & SON,2017-12-10
56/240/0041/00,22225,I C HUXLEY & CO,2017-12-11
15/012/0163/,8618,BLACKBURN & HAYNES,2017-12-12
21/415/0018/00,10515,J E & J PYE & SON,2017-12-13
10/211/0035/00,6154,J TUCKER & PARTNERS,2017-12-14
10/397/0033/00,6848,C J PARISH & SON,2017-12-15
06/229/0015/00,901,H & C M MADDOCK,2017-12-16
37/033/0002/00,14596,R P & MRS I COOKE,2017-12-17
10/073/0113/00,5421,C R & J M CARR,2017-12-18
35/268/0058/00,13158,G VERNON & PARTNERS,2017-12-19
32/275/0001/02,11771,REG AS: THE WELBECK ESTATE CO LTD,2017-12-20
10/396/0032/00,29360,GFL DAIRY LIMITED,2017-12-21
06/325/0009/00,1283,WINCHAM HOLSTEINS LIMITED,2017-12-22
21/415/0004/00,10509,J & C W METCALFE,2017-12-23
37/144/0018/00,15042,T/A H R TAYLOR & SON,2017-12-24
21/216/0009/00,10242,J FENTON & SON,2017-12-25
35/253/0241/00,13106,M/S B & L WHITFIELD & SON,2017-12-26
38/217/0019/00,30165,T/A: J O WILLIAMS,2017-12-27
21/216/0001/00,10238,W M & B T CRITCHLEY,2017-12-28
57/007/0005/00,22349,OWEN ANSTEY & SON,2017-12-29
08/129/0021/00,3365,E & D E HORN,2017-12-30
28/380/0006/06,29863,E S BURROUGHS AND SONS,2017-12-31
01/070/0020/00,14,W A INFIELD & SON,2018-01-01
41/023/0169/00,15733,OLD PLAW HATCH FARM LIMITED,2018-01-02
37/084/0010/00,14925,S H & M A GLOVER,2018-01-03
55/006/0036/00,19593,D M & E D EVANS,2018-01-04
07/160/0015/00,2282,J E & S E EASTLEY,2018-01-05
18/099/0013/00,9417,BLUEGATES FARM,2018-01-06
55/021/0045/00,19859,MRS A M THOMAS & SON,2018-01-07
08/640/0007/,4270,R A PROCTER,2018-01-08
37/160/0060/00,30490,T/A: P D CASHMORE,2018-01-09
42/458/0037/00,30068,T/A: TOP PADDOCK FARMING PARTNERSHIP,2018-01-10
56/047/0031/00,21844,TG & B ROBERTS & SON,2018-01-11
07/051/0053/00,1803,W.O BROWN & SONS,2018-01-12
18/091/0046/00,9414,TEIFI VALLEY DAIRY GOATS,2018-01-13
56/043/0013/00,21798,A E & E M OWEN & SONS,2018-01-14
42/115/0012/00,15935,C W F HUGHES & SON,2018-01-15
07/014/0013/00,1609,KNOWLE FARM PARTNERSHIP,2018-01-16
07/029/0029/00,1705,MISS B A LAKE,2018-01-17
07/146/0208/00,29543,MR RICHARD LOUD,2018-01-18
55/010/0022/00,19693,B E H & M E THOMAS,2018-01-19
10/325/0021/01,29468,W J & MRS B A KNELLER,2018-01-20
10/089/0037/00,30191,T/A: J L E PITTS & SON,2018-01-21
10/073/0113/00,5421,C R & J M CARR,2018-01-22
55/010/0021/00,19692,M W & G M WILLIAMS,2018-01-23
08/640/0014/,4271,M H & S J MORRIS,2018-01-24
08/637/0001/,4256,P D & B S LAWRENCE,2018-01-25
08/641/0009/,4279,M/S F PHILIPSON & SON,2018-01-26
53/393/0119/00,19499,GWILYM JONES AI GWMNI,2018-01-27
53/393/0095/00,19495,DS HUGHES AI GWMNI,2018-01-28
55/010/0032/00,19695,I G & MRS H M E JONES & SONS,2018-01-29
07/208/0067/00,2590,GREENACRES FARM,2018-01-30
41/146/0023/01,15966,F J BUTLER & SONS,2018-01-31
37/188/0114/00,29352,RICHARD MICHAEL SISSON,2018-02-01
06/070/0006/00,460,C R DUTTON & SONS,2018-02-02
38/400/0005/00,15616,H F CAPON & SON,2018-02-03
37/201/0049/00,15248,C E LAKE,2018-02-04
07/037/0067/00,1740,G J CARTER,2018-02-05
55/474/0008/00,21307,T/A: D L JAMES & SON,2018-02-06
37/081/0053/00,14916,R G HEATH,2018-02-07
55/526/0021/00,21569,R G & A M JOHN,2018-02-08
06/188/0001/00,765,J G BEBINGTON & CO,2018-02-09
55/513/0002/,28994,LAWRENNY FARMS,2018-02-10
06/205/0007/00,813,R A & N READE,2018-02-11
55/421/0001/00,21016,JAMES BROTHERS ENTERPRISES LIMITED,2018-02-12
55/412/0008/00,21002,T G & G F DAVIES,2018-02-13
10/168/0034/00,30382,T/A: ROBERT G WOOLACOTT AND RICHARD F WOOLACOTT,2018-02-14
56/240/0041/00,22225,I C HUXLEY & CO,2018-02-15
56/241/0047/,22228,D M & P A SCOTT,2018-02-16
56/238/0047/00,22203,MR D W HOLLAND,2018-02-17
10/280/0041/00,6410,M/S B T & I MOORE,2018-02-18
08/057/0105/,3029,MESSRS PRESTON,2018-02-19
55/007/0083/00,19638,G B & C A DAVIES,2018-02-20
35/244/0015/00,13041,R F & J B AINSWORTH,2018-02-21
08/654/0030/,4320,MR M W COOPER,2018-02-22
10/284/0082/00,8457,S & F J AINSLIE & SONS,2018-02-23
55/004/0119/00,19554,A W & J L THOMAS,2018-02-24
10/270/0033/00,6373,MR & MRS N M EKERS & SON,2018-02-25
08/654/0005/00,4317,AE & E GARNETT LTD,2018-02-26
08/645/0016/,4292,T W & C A LONG,2018-02-27
10/253/0485/00,30646,T/A: DR & VA LAWRENCE,2018-02-28
08/194/0043/00,3688,J D HETHERINGTON & SONS,2018-03-01
55/009/0097/00,19680,R T  M A & W C RICHARDS,2018-03-02
22/169/0023/00,10872,P J IKIN,2018-03-03
41/146/0023/01,15966,F J BUTLER & SONS,2018-03-04
36/067/0015/00,13438,A S & S MORGAN,2018-03-05
55/060/0026/90,20199,W K & MRS L DANIEL & H W DANIEL,2018-03-06
55/239/0036/00,20730,J L JAMES & SONS,2018-03-07
55/246/0011/00,20752,D W BAILEY,2018-03-08
22/228/0141/00,29170,LEICESTERSHIRE HANDMADE CHEESE CO,2018-03-09
55/270/0016/00,20840,UWA FARMS,2018-03-10
55/263/0021/03,20842,D UNIT  IBERS  ABERYSTWYTH UNIVERSITY,2018-03-11
21/216/0009/00,10242,J FENTON & SON,2018-03-12
14/359/0004/00,8597,F  M & T JUCKES,2018-03-13
40/045/7000/00,29519,D & P THOMPSON,2018-03-14
11/145/0078/00,7461,J W & T/A: P MARSH & SON,2018-03-15
21/387/0474/00,10405,M & M TATTERSALL,2018-03-16
36/332/0040/00,14051,R  P & S MAIN,2018-03-17
35/016/0004/01,12339,K R & W R J WILLIAMS & SON,2018-03-18
21/011/0058/00,9666,G EDWARDS & FAMILY,2018-03-19
36/329/0123/00,14035,D M HAM,2018-03-20
35/244/0032/00,13046,J D J  P J & J W ALLMARK,2018-03-21
36/341/0144/00,14132,R H & B D SCOTT & SON,2018-03-22
21/235/0042/00,10300,PETER FARE & SON,2018-03-23
44/901/0288/00,16372,J & R LANCASHIRE,2018-03-24
35/270/0061/00,13191,R N COPE,2018-03-25
21/161/0044/00,10083,K H & D HOLDEN & SON,2018-03-26
17/016/0002/00,8920,EDVIN FARMS,2018-03-27
06/321/0063/00,1274,B E WORTH,2018-03-28
10/261/0154/01,30601,T/A: M W J & S J GOULD,2018-03-29
10/415/8000/00,30384,DEVON COUNTY SHOW,2018-03-30
42/115/0012/00,15935,C W F HUGHES & SON,2018-03-31
36/335/0078/00,14078,M J COLE,2018-04-01
10/340/0309/00,30614,T/A: ALEX WILSON-NORTH AND CLAIRE WILSON-NORTH,2018-04-02
55/210/0005/00,20596,R T & M I FEAR & SONS,2018-04-03
10/015/0147/00,5213,D K & M J & N PARRIS,2018-04-04
22/032/0020/00,10768,T/A JH HEWSON & SON,2018-04-05
20/229/0031/00,9527,A L BETTS LTD,2018-04-06
60/152/0132/00,29010,S G D JONES,2018-04-07
55/439/0097/00,21101,MICHAEL & NICHOLAS CAREY,2018-04-08
20/281/0018/00,9537,T/A: EDGAR AND SON,2018-04-09
37/061/0009/00,14735,T D PRINCE,2018-04-10
10/194/0072/00,6026,R J & G M ASTON,2018-04-11
41/023/0169/00,15733,OLD PLAW HATCH FARM LIMITED,2018-04-12
52/080/0014/00,18887,G D THOMAS & SON,2018-04-13
55/206/0066/00,20549,J L & M A & A L DAVIES,2018-04-14
55/208/0129/00,20570,MR C M WOOD & MRS C G WOOD,2018-04-15
10/217/0022/00,6186,C J DARE & SONS,2018-04-16
06/191/0024/00,776,MESSRS J COOKE,2018-04-17
10/465/0085/00,7045,G A MORTIMER & SONS,2018-04-18
38/334/0029/00,30202,T/A: LONGWOOD FARM,2018-04-19
22/093/0061/00,30580,T/A: AHIMSA DAIRY FOUNDATION,2018-04-20
48/873/0030/00,18416,BOOTH BROTHERS,2018-04-21
28/520/0001/00,11373,MR & MRS W WALES,2018-04-22
06/187/0064/00,764,TOLLEMACHE FARMS LTD,2018-04-23
37/196/0144/00,30156,T/A: DA & PR WARING,2018-04-24
48/838/0018/00,18322,A H PRICE & SON,2018-04-25
37/180/0047/00,15125,MESSRS R & K G DOWNING,2018-04-26
38/102/0078/00,15556,FEN FARM DAIRY LTD,2018-04-27
06/204/0084/00,811,J & S OAKES,2018-04-28
43/240/0010/00,16209,TITCOMB & KEEN,2018-04-29
33/334/0002/00,11907,K B BERRY & SON,2018-04-30
04/557/0011/00,259,F S STURROCK & SONS,2018-05-01
37/263/0010/00,15478,MESSRS F W MADDERS & SON,2018-05-02
55/007/0047/00,19630,I M & C A JONES,2018-05-03
31/347/0003/00,11578,MESSRS M L & J M RICHARDSON & SONS,2018-05-04
37/180/0068/00,15126,R H TURNER,2018-05-05
55/041/0011/00,20061,R & N THOMAS LTD,2018-05-06
55/004/0100/00,19547,W J HINDS & CO.,2018-05-07
55/041/0112/00,20073,B T & MRS E E THOMAS,2018-05-08
37/201/0031/60,15238,P T JOHNSON,2018-05-09
37/205/0037/00,15287,MESSRS A & R BOWERS,2018-05-10
55/439/0097/00,21101,MICHAEL & NICHOLAS CAREY,2018-05-11
37/195/0008/00,15190,VICARSWOOD FARMING COMPANY,2018-05-12
06/304/0003/00,1245,B BUTTERWORTH & SON,2018-05-13
37/194/0022/00,15189,MESSRS SCOTT BROS,2018-05-14
08/345/0016/,3903,H WRIGHT & SONS,2018-05-15
21/072/0287/00,9774,T & P B M PICKUP,2018-05-16
08/383/0004/00,4065,P & E M MASON,2018-05-17
08/129/0021/00,3365,E & D E HORN,2018-05-18
14/281/0002/00,8498,M J C HOCKEN & SONS,2018-05-19
06/210/0013/00,835,MESSRS W M CHALLONER & SON,2018-05-20
60/118/0006/00,22632,D G & G N WATTS,2018-05-21
34/793/0026/00,25864,K J WITHERS,2018-05-22
08/345/0015/,3902,J S & K M WILSON,2018-05-23
21/035/0043/00,9736,R J & J E SEEDALL,2018-05-24
08/640/0007/,4270,R A PROCTER,2018-05-25
08/385/0012/00,30644,T/A: J HADWIN & SON,2018-05-26
56/245/0018/00,22262,C R BARNETT,2018-05-27
36/022/0104/00,13319,M/S S G E HATCH & SON,2018-05-28
06/190/0005/00,773,M/S JOHN H LIGHTFOOT & SON,2018-05-29
